,X,Y,L1,L2,L3
1,180,25.38975488,1,1,1
2,179.9998513,25.38981982,1,1,1
3,179.983311,25.39713037,1,1,1
4,179.9668092,25.40451398,1,1,1
5,179.950346,25.41197045,1,1,1
6,179.9339221,25.41949959,1,1,1
7,179.9175377,25.42710122,1,1,1
8,179.9011932,25.43477531,1,1,1
9,179.884889,25.44252148,1,1,1
10,179.8686255,25.45033965,1,1,1
11,179.852403,25.45822969,1,1,1
12,179.8362221,25.46619134,1,1,1
13,179.820083,25.47422438,1,1,1
14,179.803986,25.48232864,1,1,1
15,179.7879317,25.49050409,1,1,1
16,179.7719204,25.49875026,1,1,1
17,179.7559524,25.50706725,1,1,1
18,179.7400281,25.51545466,1,1,1
19,179.7241479,25.52391239,1,1,1
20,179.7083123,25.53244017,1,1,1
21,179.6925215,25.54103788,1,1,1
22,179.676776,25.54970524,1,1,1
23,179.6610761,25.55844214,1,1,1
24,179.6454221,25.56724839,1,1,1
25,179.6298145,25.57612361,1,1,1
26,179.6142536,25.58506779,1,1,1
27,179.5987398,25.59408065,1,1,1
28,179.5832736,25.60316198,1,1,1
29,179.567855,25.6123115,1,1,1
30,179.5524848,25.6215291,1,1,1
31,179.5371631,25.63081451,1,1,1
32,179.5218903,25.64016752,1,1,1
33,179.506667,25.64958793,1,1,1
34,179.4914931,25.65907547,1,1,1
35,179.4763694,25.66863002,1,1,1
36,179.461296,25.6782513,1,1,1
37,179.4462735,25.68793902,1,1,1
38,179.431302,25.69769308,1,1,1
39,179.4163819,25.7075131,1,1,1
40,179.4015138,25.71739898,1,1,1
41,179.3866979,25.72735051,1,1,1
42,179.3719344,25.73736732,1,1,1
43,179.3572239,25.74744922,1,1,1
44,179.3425666,25.7575961,1,1,1
45,179.327963,25.76780757,1,1,1
46,179.3134133,25.77808346,1,1,1
47,179.2989179,25.78842355,1,1,1
48,179.2844772,25.79882748,1,1,1
49,179.2700915,25.80929521,1,1,1
50,179.2557613,25.8198263,1,1,1
51,179.2514381,25.82302377,1,1,1
52,179.2405025,25.83114911,1,1,1
53,179.2262839,25.84180633,1,1,1
54,179.2225462,25.84462538,1,1,1
55,179.2099047,25.854199,1,1,1
56,179.1957991,25.86498129,1,1,1
57,179.1817504,25.87582586,1,1,1
58,179.1677593,25.88673232,1,1,1
59,179.1538259,25.89770049,1,1,1
60,179.1399508,25.90873015,1,1,1
61,179.1261339,25.91982085,1,1,1
62,179.1123759,25.93097257,1,1,1
63,179.0986771,25.94218484,1,1,1
64,179.0850378,25.95345756,1,1,1
65,179.0714582,25.96479034,1,1,1
66,179.0579388,25.976183,1,1,1
67,179.0444798,25.98763524,1,1,1
68,179.0310817,25.99914687,1,1,1
69,179.0177447,26.01071742,1,1,1
70,179.0044691,26.02234678,1,1,1
71,178.9912554,26.03403467,1,1,1
72,178.9781037,26.0457808,1,1,1
73,178.9650146,26.05758488,1,1,1
74,178.9519881,26.06944662,1,1,1
75,178.9390248,26.08136566,1,1,1
76,178.9261249,26.09334197,1,1,1
77,178.9132887,26.10537499,1,1,1
78,178.9005166,26.11746462,1,1,1
79,178.8878088,26.12961048,1,1,1
80,178.8751658,26.14181229,1,1,1
81,178.8625877,26.15406985,1,1,1
82,178.850075,26.16638278,1,1,1
83,178.8376278,26.17875088,1,1,1
84,178.8252467,26.19117369,1,1,1
85,178.8129318,26.2036511,1,1,1
86,178.8006834,26.21618274,1,1,1
87,178.788502,26.22876831,1,1,1
88,178.7763878,26.24140754,1,1,1
89,178.7643409,26.25410004,1,1,1
90,178.7523619,26.26684562,1,1,1
91,178.7404511,26.27964399,1,1,1
92,178.7286085,26.29249478,1,1,1
93,178.7168348,26.30539761,1,1,1
94,178.70513,26.31835237,1,1,1
95,178.6934944,26.3313586,1,1,1
96,178.6819285,26.34441611,1,1,1
97,178.6704325,26.3575245,1,1,1
98,178.6590066,26.37068342,1,1,1
99,178.6476513,26.38389275,1,1,1
100,178.6363666,26.39715193,1,1,1
101,178.625153,26.41046087,1,1,1
102,178.6236742,26.41222612,1,1,1
103,178.6137807,26.42409371,1,1,1
104,178.60271,26.43750099,1,1,1
105,178.5917113,26.45095698,1,1,1
106,178.5807848,26.46446132,1,1,1
107,178.5699308,26.4780137,1,1,1
108,178.5591495,26.49161395,1,1,1
109,178.5484412,26.5052615,1,1,1
110,178.5378064,26.51895624,1,1,1
111,178.527245,26.53269772,1,1,1
112,178.5167577,26.54648565,1,1,1
113,178.5063443,26.56031973,1,1,1
114,178.4960054,26.57419952,1,1,1
115,178.4857412,26.5881249,1,1,1
116,178.475552,26.60209531,1,1,1
117,178.465438,26.61611057,1,1,1
118,178.4553995,26.6301703,1,1,1
