YEAR,SPECIES,n_SETS,HOOKS,NUM_CAUGHT
2010,BIGEYE_TUNA,581,1353495,5780
2010,YELLOWFIN_TUNA,581,1353495,905
2011,BIGEYE_TUNA,1407,3319752,13663
2011,YELLOWFIN_TUNA,1407,3319752,3208
2012,BIGEYE_TUNA,877,2204039,7410
2012,YELLOWFIN_TUNA,877,2204039,2312
2013,BIGEYE_TUNA,876,2178696,10007
2013,YELLOWFIN_TUNA,876,2178696,1639
2014,BIGEYE_TUNA,598,1515950,8075
2014,YELLOWFIN_TUNA,598,1515950,993
2015,BIGEYE_TUNA,518,1312421,6284
2015,YELLOWFIN_TUNA,518,1312421,1461
2016,BIGEYE_TUNA,139,403361,1311
2016,YELLOWFIN_TUNA,139,403361,401
2017,BIGEYE_TUNA,3,7695,11
2017,YELLOWFIN_TUNA,3,7695,6
2018,BIGEYE_TUNA,50,130228,718
2018,YELLOWFIN_TUNA,50,130228,280
2019,BIGEYE_TUNA,92,257471,1102
2019,YELLOWFIN_TUNA,92,257471,575
