YEAR,SPECIES,n_SETS,HOOKS,NUM_CAUGHT
2010,BIGEYE_TUNA,154,355904,1696
2010,YELLOWFIN_TUNA,154,355904,324
2011,BIGEYE_TUNA,282,656070,2675
2011,YELLOWFIN_TUNA,282,656070,724
2012,BIGEYE_TUNA,197,464553,2095
2012,YELLOWFIN_TUNA,197,464553,648
2013,BIGEYE_TUNA,152,371588,1624
2013,YELLOWFIN_TUNA,152,371588,388
2014,BIGEYE_TUNA,168,405633,2384
2014,YELLOWFIN_TUNA,168,405633,388
2015,BIGEYE_TUNA,106,265026,1270
2015,YELLOWFIN_TUNA,106,265026,348
2016,BIGEYE_TUNA,50,137302,484
2016,YELLOWFIN_TUNA,50,137302,109
2019,BIGEYE_TUNA,1,2884,8
2019,YELLOWFIN_TUNA,1,2884,0
