YEAR,SPECIES,HOOKS,NUM_CAUGHT,DiD_BETA,SPECIFICATION,FE_SPECIFICATION
2010,BIGEYE TUNA,384702,1208,0.5005817055259622,100NM,timeFE
2010,YELLOWFIN TUNA,384702,347,0.5599242003483635,100NM,timeFE
2011,BIGEYE TUNA,799347,3247,0.5005817055259622,100NM,timeFE
2011,YELLOWFIN TUNA,799347,1236,0.5599242003483635,100NM,timeFE
2012,BIGEYE TUNA,810569,3237,0.5005817055259622,100NM,timeFE
2012,YELLOWFIN TUNA,810569,681,0.5599242003483635,100NM,timeFE
2013,BIGEYE TUNA,608204,2752,0.5005817055259622,100NM,timeFE
2013,YELLOWFIN TUNA,608204,527,0.5599242003483635,100NM,timeFE
2014,BIGEYE TUNA,335504,1375,0.5005817055259622,100NM,timeFE
2014,YELLOWFIN TUNA,335504,239,0.5599242003483635,100NM,timeFE
2015,BIGEYE TUNA,590118,3036,0.5005817055259622,100NM,timeFE
2015,YELLOWFIN TUNA,590118,789,0.5599242003483635,100NM,timeFE
2016,BIGEYE TUNA,528731,2662,0.5005817055259622,100NM,timeFE
2016,YELLOWFIN TUNA,528731,721,0.5599242003483635,100NM,timeFE
2017,BIGEYE TUNA,469402,2704,0.5005817055259622,100NM,timeFE
2017,YELLOWFIN TUNA,469402,1494,0.5599242003483635,100NM,timeFE
2018,BIGEYE TUNA,858271,4617,0.5005817055259622,100NM,timeFE
2018,YELLOWFIN TUNA,858271,2336,0.5599242003483635,100NM,timeFE
2019,BIGEYE TUNA,1001401,4625,0.5005817055259622,100NM,timeFE
2019,YELLOWFIN TUNA,1001401,2251,0.5599242003483635,100NM,timeFE
2010,BIGEYE TUNA,1280610,4258,0.2908742698174328,200NM,timeFE
2010,YELLOWFIN TUNA,1280610,650,0.5212311069806413,200NM,timeFE
2011,BIGEYE TUNA,1950535,7382,0.2908742698174328,200NM,timeFE
2011,YELLOWFIN TUNA,1950535,3136,0.5212311069806413,200NM,timeFE
2012,BIGEYE TUNA,1865387,7445,0.2908742698174328,200NM,timeFE
2012,YELLOWFIN TUNA,1865387,1801,0.5212311069806413,200NM,timeFE
2013,BIGEYE TUNA,1596903,6706,0.2908742698174328,200NM,timeFE
2013,YELLOWFIN TUNA,1596903,1566,0.5212311069806413,200NM,timeFE
2014,BIGEYE TUNA,1294515,6414,0.2908742698174328,200NM,timeFE
2014,YELLOWFIN TUNA,1294515,800,0.5212311069806413,200NM,timeFE
2015,BIGEYE TUNA,1580816,8566,0.2908742698174328,200NM,timeFE
2015,YELLOWFIN TUNA,1580816,1596,0.5212311069806413,200NM,timeFE
2016,BIGEYE TUNA,1720912,9247,0.2908742698174328,200NM,timeFE
2016,YELLOWFIN TUNA,1720912,2501,0.5212311069806413,200NM,timeFE
2017,BIGEYE TUNA,1377350,7163,0.2908742698174328,200NM,timeFE
2017,YELLOWFIN TUNA,1377350,4059,0.5212311069806413,200NM,timeFE
2018,BIGEYE TUNA,2606293,13023,0.2908742698174328,200NM,timeFE
2018,YELLOWFIN TUNA,2606293,5360,0.5212311069806413,200NM,timeFE
2019,BIGEYE TUNA,2237905,9919,0.2908742698174328,200NM,timeFE
2019,YELLOWFIN TUNA,2237905,4452,0.5212311069806413,200NM,timeFE
2010,BIGEYE TUNA,2585415,9883,0.1059147416788281,300NM,timeFE
2010,YELLOWFIN TUNA,2585415,1239,0.17729607364710506,300NM,timeFE
2011,BIGEYE TUNA,3475327,14271,0.1059147416788281,300NM,timeFE
2011,YELLOWFIN TUNA,3475327,4930,0.17729607364710506,300NM,timeFE
2012,BIGEYE TUNA,3243207,12992,0.1059147416788281,300NM,timeFE
2012,YELLOWFIN TUNA,3243207,3136,0.17729607364710506,300NM,timeFE
2013,BIGEYE TUNA,2722071,11966,0.1059147416788281,300NM,timeFE
2013,YELLOWFIN TUNA,2722071,2345,0.17729607364710506,300NM,timeFE
2014,BIGEYE TUNA,2539116,11885,0.1059147416788281,300NM,timeFE
2014,YELLOWFIN TUNA,2539116,1621,0.17729607364710506,300NM,timeFE
2015,BIGEYE TUNA,2847640,14712,0.1059147416788281,300NM,timeFE
2015,YELLOWFIN TUNA,2847640,2848,0.17729607364710506,300NM,timeFE
2016,BIGEYE TUNA,2888010,15382,0.1059147416788281,300NM,timeFE
2016,YELLOWFIN TUNA,2888010,4090,0.17729607364710506,300NM,timeFE
2017,BIGEYE TUNA,3108383,15846,0.1059147416788281,300NM,timeFE
2017,YELLOWFIN TUNA,3108383,8095,0.17729607364710506,300NM,timeFE
2018,BIGEYE TUNA,4799540,22621,0.1059147416788281,300NM,timeFE
2018,YELLOWFIN TUNA,4799540,8214,0.17729607364710506,300NM,timeFE
2019,BIGEYE TUNA,4052448,17306,0.1059147416788281,300NM,timeFE
2019,YELLOWFIN TUNA,4052448,7158,0.17729607364710506,300NM,timeFE
